index,Accuracy,Precission,Recall,F1_score,set,min_samples_split,metric,min_samples_leaf,max_depth
train_2,1.0,1.0,1.0,1.0,train,2,min_samples_split,,
test_2,0.9526257109922712,0.7948548812664907,0.792372184777248,0.7936115913394254,test,2,min_samples_split,,
train_7,0.9942386448250187,0.9830368906455863,0.9665614120314144,0.9747295366401307,train,7,min_samples_split,,
test_7,0.9535138608061376,0.8047098402018503,0.7864540522768371,0.7954772198204191,test,7,min_samples_split,,
train_12,0.9894173492181683,0.9657750456886526,0.9413002995708849,0.9533806224117429,train,12,min_samples_split,,
test_12,0.9540051777244468,0.8089754445385267,0.7853033042906461,0.7969636302969636,test,12,min_samples_split,,
train_17,0.9858991064780342,0.9487328143117443,0.9274552667800178,0.9379733879222107,train,17,min_samples_split,,
test_17,0.9550633987792664,0.8143560156117428,0.788919940818675,0.801436205744823,test,17,min_samples_split,,
train_22,0.9833209233060313,0.9384602607756831,0.9149056756537932,0.9265332896031485,train,22,min_samples_split,,
test_22,0.9552901604338706,0.8161251913590747,0.7887555482492191,0.8022069887978599,test,22,min_samples_split,,
train_27,0.9813663440059568,0.9279629476470102,0.9084284673305805,0.918091809180918,train,27,min_samples_split,,
test_27,0.9563483814886903,0.8196915776986952,0.7951668584579977,0.8072429906542056,test,27,min_samples_split,,
train_32,0.9795606850335071,0.9230897425214566,0.896931422556878,0.9098226018396847,train,32,min_samples_split,,
test_32,0.9564806591205427,0.8206650831353919,0.7951668584579977,0.8077147866744595,test,32,min_samples_split,,
train_37,0.9782576321667907,0.9139456063486815,0.8951501902679945,0.9044502617801047,train,37,min_samples_split,,
test_37,0.9565562463387441,0.8191632928475033,0.7982903172776591,0.8085921238864374,test,37,min_samples_split,,
train_42,0.9767870439314966,0.9104005329336331,0.885191482471055,0.8976190476190475,train,42,min_samples_split,,
test_42,0.9570853568661539,0.8230508474576271,0.7982903172776591,0.8104815154802637,test,42,min_samples_split,,
train_47,0.9753909158600149,0.9013478872074754,0.8825196340377297,0.8918343969890361,train,47,min_samples_split,,
test_47,0.9573877057389596,0.8216806722689075,0.8037152720697025,0.8125986869442366,test,47,min_samples_split,,
train_2,0.9935219657483246,0.9928118393234673,0.950530321431463,0.971211118464593,train,,min_samples_leaf,2,
test_2,0.953154821519681,0.8111187845303868,0.7723162913036331,0.7912421052631579,test,,min_samples_leaf,2,
train_7,0.9808823529411764,0.929506965879703,0.9021131892154481,0.9156052263949379,train,,min_samples_leaf,7,
test_7,0.9576711578072148,0.8246325392802838,0.8024001315140555,0.8133644392601231,test,,min_samples_leaf,7,
train_12,0.9752419955323902,0.9056508999581415,0.8758804955064368,0.8905169575238724,train,,min_samples_leaf,12,
test_12,0.9599576711578072,0.839151266255989,0.8061811606115403,0.8223358765825438,test,,min_samples_leaf,12,
train_17,0.9723473566641847,0.8978622327790974,0.8569346611610396,0.8769211649198393,train,,min_samples_leaf,17,
test_17,0.9588616564938869,0.8373056994818653,0.7969751767220121,0.8166428029983996,test,,min_samples_leaf,17,
train_22,0.9702624720774385,0.8928939237899073,0.842360942433811,0.8668916385451818,train,,min_samples_leaf,22,
test_22,0.9602411232260625,0.8452195037306958,0.8007562058194969,0.8223873037312172,test,,min_samples_leaf,22,
train_27,0.9684475055845123,0.8701363073110285,0.8528054408549915,0.8613837095191363,train,,min_samples_leaf,27,
test_27,0.9590506245393904,0.8285234899328859,0.8117705079730396,0.8200614464834343,test,,min_samples_leaf,27,
train_32,0.9675446760982874,0.8698881655817059,0.8438992794105741,0.8566966670776313,train,,min_samples_leaf,32,
test_32,0.959409663825847,0.8333050991021514,0.8086470491533783,0.8207909227432003,test,,min_samples_leaf,32,
train_37,0.9668931496649292,0.8666611074049366,0.8414703262893692,0.8538799654931603,train,,min_samples_leaf,37,
test_37,0.9591451085621422,0.8350709280464877,0.8032220943613348,0.8188369364839952,test,,min_samples_leaf,37,
train_42,0.9658134772896501,0.8669034331134787,0.830054246619707,0.8480787525333995,train,,min_samples_leaf,42,
test_42,0.9582947523573764,0.8375130616509927,0.7905638665132336,0.8133615221987314,test,,min_samples_leaf,42,
train_47,0.9653946388682055,0.8601585314977055,0.834669257549996,0.8472222222222223,train,,min_samples_leaf,47,
test_47,0.958918346907538,0.8353062274832733,0.8004274206805853,0.8174949630624581,test,,min_samples_leaf,47,
train_2,0.910331347728965,0.7971997374753883,0.29503683912233825,0.43068195248788554,train,,max_depth,,2
test_2,0.9088607116536593,0.7845528455284553,0.28554989314482987,0.41870555622514166,test,,max_depth,,2
train_7,0.957017870439315,0.8706028946611712,0.7354060399967614,0.797313904494382,train,,max_depth,,7
test_7,0.9522288780967139,0.8479154433352907,0.7121486108827881,0.7741243745532523,test,,max_depth,,7
train_12,0.9785554728220403,0.9393859879296772,0.8695652173913043,0.9031281533804238,train,,max_depth,,12
test_12,0.9582947523573764,0.8473118279569892,0.7772480683873089,0.8107690988596417,test,,max_depth,,12
train_17,0.9922654504839911,0.9832214765100671,0.9489110193506599,0.9657616085039761,train,,max_depth,,17
test_17,0.9560838262249853,0.8212271406597162,0.7899062962354102,0.8052622758505111,test,,max_depth,,17
train_22,0.9986224869694713,0.9986107706137125,0.9893935713707392,0.9939808036440541,train,,max_depth,,22
test_22,0.9533248927606341,0.8012339503084875,0.7899062962354102,0.7955298013245033,test,,max_depth,,22
train_27,0.9999441548771407,1.0,0.9995142093757591,0.9997570456754131,train,,max_depth,,27
test_27,0.9523422589240159,0.7934728861051591,0.7913858293605129,0.7924279835390946,test,,max_depth,,27
train_32,1.0,1.0,1.0,1.0,train,,max_depth,,32
test_32,0.9529847502787279,0.7956900806053627,0.7951668584579977,0.7954283834895576,test,,max_depth,,32
train_37,1.0,1.0,1.0,1.0,train,,max_depth,,37
test_37,0.9530036470832782,0.7972883597883598,0.7927009699161598,0.7949880471519248,test,,max_depth,,37
train_42,1.0,1.0,1.0,1.0,train,,max_depth,,42
test_42,0.9531359247151306,0.7990041493775933,0.7913858293605129,0.795176742649488,test,,max_depth,,42
train_47,1.0,1.0,1.0,1.0,train,,max_depth,,47
test_47,0.9521721876830628,0.7940397350993378,0.7884267631103075,0.7912232945640519,test,,max_depth,,47
