,alpha,model,variable,value
0,0.0001,LR,MAE,38.73119433005614
1,0.001,LR,MAE,38.73119433005614
2,0.01,LR,MAE,38.73119433005614
3,0.1,LR,MAE,38.73119433005614
4,0.5,LR,MAE,38.73119433005614
5,1.0,LR,MAE,38.73119433005614
6,0.0001,L1,MAE,39.25933045377038
7,0.001,L1,MAE,39.260924907197754
8,0.01,L1,MAE,39.28586000385448
9,0.1,L1,MAE,39.58351522990167
10,0.5,L1,MAE,42.33441994523511
11,1.0,L1,MAE,45.145951070278045
12,0.0001,L2,MAE,38.72884781919689
13,0.001,L2,MAE,38.72919066070798
14,0.01,L2,MAE,38.73222263123531
15,0.1,L2,MAE,38.78404961303295
16,0.5,L2,MAE,38.89887184246017
17,1.0,L2,MAE,38.94162497323227
18,0.0001,LR,MSE,2640.5680675413955
19,0.001,LR,MSE,2640.5680675413955
20,0.01,LR,MSE,2640.5680675413955
21,0.1,LR,MSE,2640.5680675413955
22,0.5,LR,MSE,2640.5680675413955
23,1.0,LR,MSE,2640.5680675413955
24,0.0001,L1,MSE,2709.2183916561194
25,0.001,L1,MSE,2709.400067636114
26,0.01,L1,MSE,2712.3121561674775
27,0.1,L1,MSE,2755.7305850401694
28,0.5,L1,MSE,3148.554413488491
29,1.0,L1,MSE,3531.5210803772397
30,0.0001,L2,MSE,2640.531126562697
31,0.001,L2,MSE,2640.548182363323
32,0.01,L2,MSE,2640.747943023459
33,0.1,L2,MSE,2646.8798241578393
34,0.5,L2,MSE,2662.0273361397944
35,1.0,L2,MSE,2668.057842230761
36,0.0001,LR,RMSE,51.38645801708263
37,0.001,LR,RMSE,51.38645801708263
38,0.01,LR,RMSE,51.38645801708263
39,0.1,LR,RMSE,51.38645801708263
40,0.5,LR,RMSE,51.38645801708263
41,1.0,LR,RMSE,51.38645801708263
42,0.0001,L1,RMSE,52.05015265737575
43,0.001,L1,RMSE,52.05189782934061
44,0.01,L1,RMSE,52.079863250276276
45,0.1,L1,RMSE,52.49505295778041
46,0.5,L1,RMSE,56.11198101554151
47,1.0,L1,RMSE,59.42660246368826
48,0.0001,L2,RMSE,51.38609857308392
49,0.001,L2,RMSE,51.386264530157504
50,0.01,L2,RMSE,51.38820820989441
51,0.1,L2,RMSE,51.447835952135435
52,0.5,L2,RMSE,51.59483827031338
53,1.0,L2,RMSE,51.65324619257497
54,0.0001,LR,R2,0.6200316461313331
55,0.001,LR,R2,0.6200316461313331
56,0.01,LR,R2,0.6200316461313331
57,0.1,LR,R2,0.6200316461313331
58,0.5,LR,R2,0.6200316461313331
59,1.0,LR,R2,0.6200316461313331
60,0.0001,L1,R2,0.6101531086427278
61,0.001,L1,R2,0.6101269661153282
62,0.01,L1,R2,0.6097079269323646
63,0.1,L1,R2,0.6034601694330926
64,0.5,L1,R2,0.5469342175780164
65,1.0,L1,R2,0.4918266762148522
66,0.0001,L2,R2,0.6200369618067891
67,0.001,L2,R2,0.6200345075377371
68,0.01,L2,R2,0.6200057626891826
69,0.1,L2,R2,0.6191234068016791
70,0.5,L2,R2,0.6169437336988576
71,1.0,L2,R2,0.616075965319566
